source,target,length
1362,1926,3.504997
1926,508,2.425144
508,1926,2.425144
1926,2834,3.382745
2834,508,3.568741
508,4998,0.284558
4998,508,0.284558
508,2834,3.568741
2834,4998,3.742979
4998,2834,3.742979
2834,4539,4.486285
4539,4998,3.468829
4187,4980,2.170195
4980,4743,5.125018
4743,4187,6.477590
4187,4539,3.427231
4539,4313,1.541388
4313,4187,3.502361
4187,4313,3.502361
4313,797,2.841270
797,4187,2.598440
4187,797,2.598440
797,3002,3.422253
3002,4187,2.736593
4187,3002,2.736593
3002,4980,0.941138
4980,4187,2.170195
4998,785,5.832147
785,4998,5.832147
4998,4539,3.468829
4539,4187,3.427231
2817,3204,2.015298
2231,3204,4.364232
3204,2817,2.015298
2817,2231,5.668896
2231,2817,5.668896
1375,4865,2.299479
4865,2231,2.343664
2231,1375,4.011771
1146,4865,4.006964
4865,1375,2.299479
1375,1146,3.420797
4366,2229,5.592389
1502,707,1.111808
3257,1502,0.919657
1375,2231,4.011771
4184,1502,2.154653
1502,3257,0.919657
3257,4184,1.980407
4184,3257,1.980407
4184,707,2.905717
707,1502,1.111808
1502,4184,2.154653
707,4184,2.905717
4187,4743,6.477590
1897,1146,2.100324
1146,1375,3.420797
1375,1897,4.663017
3812,1897,1.947851
1897,1375,4.663017
2692,4865,5.291540
4865,1146,4.006964
1146,2692,1.930539
2692,1897,2.850237
1897,3812,1.947851
3812,2692,3.668635
2692,1146,1.930539
1146,1897,2.100324
1897,2692,2.850237
1245,2692,2.602713
2692,3812,3.668635
3812,1245,3.361521
4368,72,2.238168
1245,3758,0.880195
3758,1245,0.880195
1245,3812,3.361521
3812,3758,3.155280
3758,3812,3.155280
3154,72,4.691269
72,4368,2.238168
4368,3154,2.896703
2102,3154,4.021601
3154,4368,2.896703
4713,3154,3.148195
3154,2102,4.021601
2102,4713,3.874492
4713,2102,3.874492
2102,3020,2.630298
3020,4713,4.029540
4713,3020,4.029540
3020,1260,1.292938
1260,4713,3.529137
3224,3154,3.643832
3154,4713,3.148195
4713,3224,0.816725
3224,4713,0.816725
4713,1260,3.529137
1260,3224,3.913337
3224,1260,3.913337
3506,3224,4.601198
3154,3224,3.643832
3224,3506,4.601198
3506,1927,0.924146
1927,72,3.484950
72,3154,4.691269
3827,72,3.031836
72,1927,3.484950
1927,3827,2.839503
3827,1927,2.839503
1927,4975,4.595907
1255,4975,1.646524
4975,1927,4.595907
1927,3506,0.924146
2397,1255,3.754030
3940,4975,1.419750
4975,1255,1.646524
1255,3940,0.493286
4470,4860,0.995945
4860,4975,2.867056
4975,4470,3.241183
4470,4975,3.241183
4975,3940,1.419750
3940,4470,3.688336
2231,4865,2.343664
3204,2231,4.364232
4949,4975,3.590784
4975,4860,2.867056
4860,4949,2.951980
4949,3827,4.263775
4975,4949,3.590784
264,4949,1.848670
4949,3086,4.878863
3086,264,4.998351
264,3827,3.097229
3827,4949,4.263775
4949,264,1.848670
72,3620,5.284586
3620,264,2.766835
264,3086,4.998351
3086,3620,5.241384
3620,3827,4.092801
3827,264,3.097229
264,3620,2.766835
3620,72,5.284586
72,3827,3.031836
3827,3620,4.092801
3620,846,0.545941
2692,1245,2.602713
846,3620,0.545941
3620,3086,5.241384
3086,846,5.103194
846,3086,5.103194
4865,2692,5.291540
3086,204,4.648030
705,2484,1.925931
2484,204,0.590326
204,705,2.215725
705,204,2.215725
204,3086,4.648030
3086,705,3.606965
3583,2484,2.632240
2484,705,1.925931
705,3583,1.351047
4445,705,3.008105
705,3086,3.606965
3086,4949,4.878863
4949,4445,5.038093
4445,4949,5.038093
4949,4860,2.951980
4860,4445,4.688379
4445,3583,2.382570
3583,705,1.351047
705,4445,3.008105
743,1131,4.164126
743,204,2.865606
204,2484,0.590326
2484,743,2.394913
204,743,2.865606
743,2484,2.394913
2484,3583,2.632240
3583,743,3.221780
3583,4445,2.382570
743,3583,3.221780
4590,1131,5.103742
1131,743,4.164126
2939,4021,3.121343
1119,3005,1.210891
3005,1042,0.925932
1042,1119,0.675836
1119,1042,0.675836
1042,4021,4.577369
4021,1119,4.200043
376,1119,2.550979
1119,4021,4.200043
4021,376,2.305054
3663,2939,4.517544
3663,4021,1.755420
4021,2939,3.121343
2939,3663,4.517544
3663,376,0.626974
376,4021,2.305054
4021,3663,1.755420
1273,4590,6.130721
4445,1273,3.507815
1273,4445,3.507815
4445,4860,4.688379
4860,1273,3.129697
1273,4860,3.129697
4860,4470,0.995945
4470,1273,2.658178
4590,1273,6.130721
376,3663,0.626974
4686,1273,1.908793
1273,4470,2.658178
4470,4686,1.728568
4686,3940,4.853554
3005,4686,3.751897
4686,4470,1.728568
4470,3940,3.688336
3940,4686,4.853554
4686,3005,3.751897
3005,1119,1.210891
1273,4686,1.908793
1119,376,2.550979
2915,3005,6.025566
4266,1255,4.288386
1255,2397,3.754030
2397,4266,1.057576
3940,4266,4.651441
4266,3940,4.651441
3940,1255,0.493286
1255,4266,4.288386
3124,4266,0.699762
4266,2397,1.057576
2397,3124,1.311778
3089,4266,3.074780
